dummy,rc5_total,misses_per_iter
2,4416.000,0.004416000000
3,4073.000,0.004073000000
4,3899.000,0.003899000000
5,4154.000,0.004154000000
6,4135.000,0.004135000000
7,3706.000,0.003706000000
8,3993.000,0.003993000000
9,15957.000,0.015957000000
10,4133.000,0.004133000000
11,4033.000,0.004033000000
12,4042.000,0.004042000000
13,4091.000,0.004091000000
14,4571.000,0.004571000000
15,3905.000,0.003905000000
16,4014.000,0.004014000000
17,3912.000,0.003912000000
18,4092.000,0.004092000000
19,129576.000,0.129576000000
20,4118.000,0.004118000000
21,125874.000,0.125874000000
22,4739.000,0.004739000000
23,4223.000,0.004223000000
24,3925.000,0.003925000000
25,4249.000,0.004249000000
26,4077.000,0.004077000000
27,4022.000,0.004022000000
28,4063.000,0.004063000000
29,4579.000,0.004579000000
30,4151.000,0.004151000000
31,3983.000,0.003983000000
32,4640.000,0.004640000000
33,4802.000,0.004802000000
34,4507.000,0.004507000000
35,4600.000,0.004600000000
36,4101.000,0.004101000000
37,4684.000,0.004684000000
38,4803.000,0.004803000000
39,4172.000,0.004172000000
40,4114.000,0.004114000000
41,4103.000,0.004103000000
42,4598.000,0.004598000000
43,4082.000,0.004082000000
44,4227.000,0.004227000000
45,4185.000,0.004185000000
46,4089.000,0.004089000000
47,4932.000,0.004932000000
48,4074.000,0.004074000000
49,4283.000,0.004283000000
50,4204.000,0.004204000000
51,4164.000,0.004164000000
52,3888.000,0.003888000000
53,4140.000,0.004140000000
54,4737.000,0.004737000000
55,4151.000,0.004151000000
56,4486.000,0.004486000000
57,4652.000,0.004652000000
58,4296.000,0.004296000000
59,5239.000,0.005239000000
60,4273.000,0.004273000000
61,5301.000,0.005301000000
62,5158.000,0.005158000000
63,5190.000,0.005190000000
64,4812.000,0.004812000000
65,5199.000,0.005199000000
66,5151.000,0.005151000000
67,4317.000,0.004317000000
68,4028.000,0.004028000000
69,5143.000,0.005143000000
70,5151.000,0.005151000000
71,4161.000,0.004161000000
72,4598.000,0.004598000000
73,6097.000,0.006097000000
74,4101.000,0.004101000000
75,4467.000,0.004467000000
76,4115.000,0.004115000000
77,4574.000,0.004574000000
78,5375.000,0.005375000000
79,5231.000,0.005231000000
80,5159.000,0.005159000000
81,5235.000,0.005235000000
82,5153.000,0.005153000000
83,4061.000,0.004061000000
84,5014.000,0.005014000000
85,4214.000,0.004214000000
86,5184.000,0.005184000000
87,5200.000,0.005200000000
88,4212.000,0.004212000000
89,4850.000,0.004850000000
90,4168.000,0.004168000000
91,4291.000,0.004291000000
92,5207.000,0.005207000000
93,4146.000,0.004146000000
94,4742.000,0.004742000000
95,4291.000,0.004291000000
96,5528.000,0.005528000000
97,4886.000,0.004886000000
98,4230.000,0.004230000000
99,4350.000,0.004350000000
100,503279.000,0.503279000000
101,503789.000,0.503789000000
102,503845.000,0.503845000000
103,503569.000,0.503569000000
104,503467.000,0.503467000000
105,503475.000,0.503475000000
106,503383.000,0.503383000000
107,503735.000,0.503735000000
108,503980.000,0.503980000000
109,503603.000,0.503603000000
110,503545.000,0.503545000000
