inject_after,phr_pos,nbranches,rc5
0,99,1,50008
0,99,2,50553
0,99,3,50728
0,99,4,50967
0,99,5,101016
0,99,6,150417
0,99,7,203075
0,99,8,251952
1,98,1,49905
1,98,2,50527
1,98,3,100218
1,98,4,163160
1,98,5,213214
1,98,6,269737
1,98,7,313256
1,98,8,356581
2,97,1,50007
2,97,2,50451
2,97,3,103097
2,97,4,153636
2,97,5,225975
2,97,6,266886
2,97,7,309980
2,97,8,357625
3,96,1,50513
3,96,2,50013
3,96,3,101985
3,96,4,175755
3,96,5,220134
3,96,6,266128
3,96,7,312087
3,96,8,357236
4,95,1,49966
4,95,2,50721
4,95,3,101696
4,95,4,163894
4,95,5,225550
4,95,6,271891
4,95,7,308421
4,95,8,357751
5,94,1,50418
5,94,2,50351
5,94,3,100710
5,94,4,174490
5,94,5,219059
5,94,6,274314
5,94,7,307403
5,94,8,356271
6,93,1,50523
6,93,2,50010
6,93,3,50657
6,93,4,50660
6,93,5,100506
6,93,6,175114
6,93,7,202174
6,93,8,255762
7,92,1,50004
7,92,2,50394
7,92,3,103215
7,92,4,157647
7,92,5,222514
7,92,6,268676
7,92,7,310128
7,92,8,357764
8,91,1,49882
8,91,2,49964
8,91,3,50024
8,91,4,50808
8,91,5,102525
8,91,6,159352
8,91,7,202656
8,91,8,253242
9,90,1,51010
9,90,2,51123
9,90,3,101686
9,90,4,166762
9,90,5,219914
9,90,6,278069
9,90,7,313167
9,90,8,356128
10,89,1,50518
10,89,2,49932
10,89,3,100803
10,89,4,174303
10,89,5,215968
10,89,6,271426
10,89,7,309200
10,89,8,357233
11,88,1,50012
11,88,2,50519
11,88,3,50646
11,88,4,50776
11,88,5,100607
11,88,6,150920
11,88,7,205976
11,88,8,262132
12,87,1,51050
12,87,2,50697
12,87,3,51086
12,87,4,50433
12,87,5,100704
12,87,6,175973
12,87,7,203275
12,87,8,251764
13,86,1,50007
13,86,2,50749
13,86,3,100784
13,86,4,170576
13,86,5,222891
13,86,6,275004
13,86,7,311031
13,86,8,356765
14,85,1,50005
14,85,2,50529
14,85,3,105732
14,85,4,163878
14,85,5,223187
14,85,6,271678
14,85,7,311566
14,85,8,355672
15,84,1,49838
15,84,2,50529
15,84,3,104479
15,84,4,163848
15,84,5,225367
15,84,6,275681
15,84,7,308665
15,84,8,355744
16,83,1,50004
16,83,2,50019
16,83,3,50607
16,83,4,50669
16,83,5,100251
16,83,6,181996
16,83,7,236786
16,83,8,252524
17,82,1,50479
17,82,2,50538
17,82,3,105357
17,82,4,164705
17,82,5,215674
17,82,6,277975
17,82,7,310698
17,82,8,358006
18,81,1,50002
18,81,2,50616
18,81,3,100430
18,81,4,159372
18,81,5,227573
18,81,6,267250
18,81,7,308903
18,81,8,356275
19,80,1,49997
19,80,2,50487
19,80,3,105147
19,80,4,159872
19,80,5,213146
19,80,6,275173
19,80,7,309370
19,80,8,357455
20,79,1,50008
20,79,2,50471
20,79,3,108681
20,79,4,159870
20,79,5,221021
20,79,6,275092
20,79,7,313045
20,79,8,355841
21,78,1,49814
21,78,2,50860
21,78,3,50541
21,78,4,50620
21,78,5,101527
21,78,6,150795
21,78,7,205778
21,78,8,252055
22,77,1,50002
22,77,2,50022
22,77,3,50029
22,77,4,50458
22,77,5,100636
22,77,6,162157
22,77,7,202608
22,77,8,251823
23,76,1,50009
23,76,2,51319
23,76,3,106480
23,76,4,168207
23,76,5,220455
23,76,6,275338
23,76,7,310886
23,76,8,358027
24,75,1,50005
24,75,2,50716
24,75,3,101995
24,75,4,167492
24,75,5,207342
24,75,6,274524
24,75,7,311817
24,75,8,355995
25,74,1,51038
25,74,2,50697
25,74,3,106215
25,74,4,171100
25,74,5,223917
25,74,6,276063
25,74,7,308543
25,74,8,357630
26,73,1,50010
26,73,2,50020
26,73,3,50622
26,73,4,50583
26,73,5,100664
26,73,6,150899
26,73,7,200682
26,73,8,257575
27,72,1,50524
27,72,2,50541
27,72,3,101808
27,72,4,165461
27,72,5,224902
27,72,6,273889
27,72,7,310242
27,72,8,356839
28,71,1,50007
28,71,2,50593
28,71,3,50959
28,71,4,51554
28,71,5,100862
28,71,6,168923
28,71,7,224868
28,71,8,253347
29,70,1,50008
29,70,2,50552
29,70,3,105407
29,70,4,165026
29,70,5,223826
29,70,6,268960
29,70,7,309940
29,70,8,356549
30,69,1,50001
30,69,2,50533
30,69,3,102144
30,69,4,167769
30,69,5,221818
30,69,6,268007
30,69,7,309219
30,69,8,356816
31,68,1,50009
31,68,2,50022
31,68,3,50710
31,68,4,50633
31,68,5,101195
31,68,6,166867
31,68,7,212020
31,68,8,251196
32,67,1,50008
32,67,2,50970
32,67,3,50432
32,67,4,50923
32,67,5,101674
32,67,6,155711
32,67,7,207737
32,67,8,258113
33,66,1,50519
33,66,2,50649
33,66,3,100361
33,66,4,155541
33,66,5,215471
33,66,6,276099
33,66,7,313611
33,66,8,356597
34,65,1,50001
34,65,2,51043
34,65,3,100799
34,65,4,171017
34,65,5,225666
34,65,6,271703
34,65,7,308242
34,65,8,357094
35,64,1,50693
35,64,2,50550
35,64,3,101611
35,64,4,169203
35,64,5,214630
35,64,6,276130
35,64,7,308090
35,64,8,358463
36,63,1,50008
36,63,2,49967
36,63,3,50712
36,63,4,50641
36,63,5,100594
36,63,6,153378
36,63,7,254270
36,63,8,252421
37,62,1,50680
37,62,2,50028
37,62,3,106535
37,62,4,153204
37,62,5,223631
37,62,6,271104
37,62,7,312388
37,62,8,355880
38,61,1,50020
38,61,2,51090
38,61,3,100527
38,61,4,164929
38,61,5,223612
38,61,6,277798
38,61,7,313364
38,61,8,356774
39,60,1,50418
39,60,2,50472
39,60,3,100233
39,60,4,169427
39,60,5,216229
39,60,6,265926
39,60,7,313177
39,60,8,355941
40,59,1,51030
40,59,2,50017
40,59,3,104377
40,59,4,159766
40,59,5,224163
40,59,6,268710
40,59,7,307630
40,59,8,358034
41,58,1,50007
41,58,2,50020
41,58,3,50612
41,58,4,50023
41,58,5,101898
41,58,6,152964
41,58,7,204178
41,58,8,251902
42,57,1,50003
42,57,2,50436
42,57,3,50029
42,57,4,51079
42,57,5,100695
42,57,6,160480
42,57,7,209910
42,57,8,252495
43,56,1,50025
43,56,2,50012
43,56,3,50006
43,56,4,50997
43,56,5,50647
43,56,6,50598
43,56,7,100679
43,56,8,154459
44,55,1,50518
44,55,2,50019
44,55,3,50028
44,55,4,50003
44,55,5,50568
44,55,6,50969
44,55,7,50487
44,55,8,50350
45,54,1,49956
45,54,2,50687
45,54,3,50559
45,54,4,50527
45,54,5,102809
45,54,6,170612
45,54,7,224788
45,54,8,261755
46,53,1,50007
46,53,2,50017
46,53,3,50023
46,53,4,50594
46,53,5,50559
46,53,6,65624
46,53,7,100739
46,53,8,171122
47,52,1,49998
47,52,2,50017
47,52,3,50053
47,52,4,50051
47,52,5,50612
47,52,6,50642
47,52,7,108857
47,52,8,155448
48,51,1,50001
48,51,2,50013
48,51,3,50027
48,51,4,49941
48,51,5,50524
48,51,6,50673
48,51,7,50791
48,51,8,50636
49,50,1,49997
49,50,2,50021
49,50,3,50572
49,50,4,50543
49,50,5,100264
49,50,6,169357
49,50,7,215352
49,50,8,262327
50,49,1,50003
50,49,2,50023
50,49,3,50548
50,49,4,50585
50,49,5,50719
50,49,6,50538
50,49,7,100893
50,49,8,152598
51,48,1,50002
51,48,2,50546
51,48,3,50186
51,48,4,50566
51,48,5,50607
51,48,6,50673
51,48,7,102276
51,48,8,168246
52,47,1,50002
52,47,2,50016
52,47,3,50037
52,47,4,50010
52,47,5,51078
52,47,6,51400
52,47,7,51281
52,47,8,49970
53,46,1,49942
53,46,2,50522
53,46,3,50385
53,46,4,51507
53,46,5,103600
53,46,6,156947
53,46,7,225949
53,46,8,270036
54,45,1,49983
54,45,2,49990
54,45,3,50415
54,45,4,51052
54,45,5,50528
54,45,6,54042
54,45,7,155853
54,45,8,217783
55,44,1,50004
55,44,2,50010
55,44,3,49960
55,44,4,50045
55,44,5,103338
55,44,6,210973
55,44,7,309389
55,44,8,395914
56,43,1,50029
56,43,2,50060
56,43,3,49990
56,43,4,50063
56,43,5,103911
56,43,6,150434
56,43,7,191551
56,43,8,210180
57,42,1,49994
57,42,2,50045
57,42,3,50541
57,42,4,50046
57,42,5,51856
57,42,6,53273
57,42,7,156790
57,42,8,214559
58,41,1,50011
58,41,2,50417
58,41,3,49934
58,41,4,50453
58,41,5,50389
58,41,6,102032
58,41,7,195607
58,41,8,252595
59,40,1,50011
59,40,2,50001
59,40,3,50036
59,40,4,50501
59,40,5,104241
59,40,6,167218
59,40,7,264939
59,40,8,312756
60,39,1,50005
60,39,2,50012
60,39,3,50035
60,39,4,50473
60,39,5,50709
60,39,6,106438
60,39,7,149125
60,39,8,187380
61,38,1,50002
61,38,2,50647
61,38,3,50921
61,38,4,50046
61,38,5,104461
61,38,6,157988
61,38,7,193464
61,38,8,209969
62,37,1,50054
62,37,2,50013
62,37,3,50029
62,37,4,50568
62,37,5,50711
62,37,6,50977
62,37,7,110324
62,37,8,106006
63,36,1,50001
63,36,2,50513
63,36,3,50810
63,36,4,50063
63,36,5,102294
63,36,6,210057
63,36,7,285471
63,36,8,355615
64,35,1,50002
64,35,2,50018
64,35,3,50737
64,35,4,51097
64,35,5,50625
64,35,6,102022
64,35,7,156351
64,35,8,215968
65,34,1,49987
65,34,2,50033
65,34,3,50532
65,34,4,50566
65,34,5,108953
65,34,6,204461
65,34,7,317010
65,34,8,385697
66,33,1,49997
66,33,2,50359
66,33,3,50161
66,33,4,50090
66,33,5,106414
66,33,6,158022
66,33,7,241906
66,33,8,315326
67,32,1,50002
67,32,2,50477
67,32,3,50567
67,32,4,50380
67,32,5,50586
67,32,6,51176
67,32,7,163671
67,32,8,210429
68,31,1,50007
68,31,2,50103
68,31,3,50397
68,31,4,50653
68,31,5,50665
68,31,6,94329
68,31,7,141835
68,31,8,172693
69,30,1,50002
69,30,2,50018
69,30,3,50033
69,30,4,50040
69,30,5,50668
69,30,6,57031
69,30,7,160571
69,30,8,335098
70,29,1,50514
70,29,2,50023
70,29,3,50836
70,29,4,50546
70,29,5,52359
70,29,6,98429
70,29,7,218534
70,29,8,273120
71,28,1,50005
71,28,2,49929
71,28,3,50466
71,28,4,51230
71,28,5,106121
71,28,6,159644
71,28,7,194206
71,28,8,209970
72,27,1,49963
72,27,2,50014
72,27,3,50002
72,27,4,50626
72,27,5,51344
72,27,6,53017
72,27,7,106318
72,27,8,105904
73,26,1,50007
73,26,2,49875
73,26,3,50940
73,26,4,50022
73,26,5,50510
73,26,6,103104
73,26,7,132776
73,26,8,149628
74,25,1,50036
74,25,2,50022
74,25,3,51353
74,25,4,49851
74,25,5,50689
74,25,6,54720
74,25,7,106206
74,25,8,100811
75,24,1,50009
75,24,2,50018
75,24,3,50083
75,24,4,50565
75,24,5,103356
75,24,6,105160
75,24,7,181883
75,24,8,184346
76,23,1,50016
76,23,2,50037
76,23,3,50423
76,23,4,50346
76,23,5,104221
76,23,6,146210
76,23,7,181518
76,23,8,183039
77,22,1,50006
77,22,2,49885
77,22,3,51301
77,22,4,50941
77,22,5,50107
77,22,6,51075
77,22,7,142759
77,22,8,106262
78,21,1,50006
78,21,2,50682
78,21,3,50834
78,21,4,51062
78,21,5,50390
78,21,6,94149
78,21,7,139399
78,21,8,149341
79,20,1,50011
79,20,2,49999
79,20,3,49977
79,20,4,50543
79,20,5,50469
79,20,6,51024
79,20,7,105229
79,20,8,105990
80,19,1,50506
80,19,2,49957
80,19,3,49997
80,19,4,50032
80,19,5,49965
80,19,6,102906
80,19,7,148258
80,19,8,184693
81,18,1,49996
81,18,2,50005
81,18,3,50312
81,18,4,49996
81,18,5,106610
81,18,6,146821
81,18,7,175593
81,18,8,183622
82,17,1,49994
82,17,2,50017
82,17,3,50028
82,17,4,52936
82,17,5,49945
82,17,6,56604
82,17,7,115893
82,17,8,107485
83,16,1,49996
83,16,2,49895
83,16,3,50311
83,16,4,50036
83,16,5,50966
83,16,6,102170
83,16,7,147144
83,16,8,151329
84,15,1,50020
84,15,2,50020
84,15,3,50050
84,15,4,50512
84,15,5,50035
84,15,6,50768
84,15,7,106354
84,15,8,104745
85,14,1,50001
85,14,2,49987
85,14,3,50022
85,14,4,51085
85,14,5,51286
85,14,6,103374
85,14,7,148775
85,14,8,176401
86,13,1,50001
86,13,2,50027
86,13,3,51172
86,13,4,55470
86,13,5,111924
86,13,6,144348
86,13,7,163348
86,13,8,178816
87,12,1,50004
87,12,2,50032
87,12,3,50018
87,12,4,50011
87,12,5,50534
87,12,6,51109
87,12,7,126647
87,12,8,104577
88,11,1,50001
88,11,2,49985
88,11,3,50950
88,11,4,50022
88,11,5,53589
88,11,6,98130
88,11,7,140247
88,11,8,178304
89,10,1,50000
89,10,2,49996
89,10,3,50055
89,10,4,49968
89,10,5,50083
89,10,6,53263
89,10,7,106012
89,10,8,105355
90,9,1,50006
90,9,2,49895
90,9,3,50025
90,9,4,50027
90,9,5,50023
90,9,6,104058
90,9,7,148671
90,9,8,181025
91,8,1,50007
91,8,2,50008
91,8,3,50309
91,8,4,101655
91,8,5,106323
91,8,6,151204
91,8,7,185573
91,8,8,188946
92,7,1,49996
92,7,2,50023
92,7,3,50912
92,7,4,52810
92,7,5,101007
92,7,6,137507
92,7,7,162779
92,7,8,170871
93,6,1,50006
93,6,2,49941
93,6,3,51230
93,6,4,53768
93,6,5,100339
93,6,6,151305
93,6,7,183947
93,6,8,215595
94,5,1,50240
94,5,2,50010
94,5,3,50350
94,5,4,51605
94,5,5,100481
94,5,6,164003
94,5,7,154392
94,5,8,213198
95,4,1,50241
95,4,2,100152
95,4,3,100724
95,4,4,154525
95,4,5,160797
95,4,6,204019
95,4,7,205471
95,4,8,251656
96,3,1,50238
96,3,2,100476
96,3,3,107437
96,3,4,152596
96,3,5,156589
96,3,6,184977
96,3,7,189626
96,3,8,216163
97,2,1,50238
97,2,2,90454
97,2,3,117361
97,2,4,151089
97,2,5,167983
97,2,6,184875
97,2,7,201758
97,2,8,201861
98,1,1,50237
98,1,2,90455
98,1,3,119492
98,1,4,150443
98,1,5,167986
98,1,6,184867
98,1,7,201775
98,1,8,201806
