inject_after,phr_pos,max_captured_branches,baseline,cutoff
98,1,1,50237,60000
97,2,1,50238,60000
96,3,1,50238,60000
95,4,1,50241,60000
94,5,4,50240,60000
93,6,4,50006,60000
92,7,4,49996,60000
91,8,3,50007,60000
90,9,5,50006,60000
89,10,6,50000,60000
88,11,5,50001,60000
87,12,6,50004,60000
86,13,4,50001,60000
85,14,5,50001,60000
84,15,6,50020,60000
83,16,5,49996,60000
82,17,6,49994,60000
81,18,4,49996,60000
80,19,5,50506,60000
79,20,6,50011,60000
78,21,5,50006,60000
77,22,6,50006,60000
76,23,4,50016,60000
75,24,4,50009,60000
74,25,6,50036,60000
73,26,5,50007,60000
72,27,6,49963,60000
71,28,4,50005,60000
70,29,5,50514,60000
69,30,6,50002,60000
68,31,5,50007,60000
67,32,6,50002,60000
66,33,4,49997,60000
65,34,4,49987,60000
64,35,5,50002,60000
63,36,4,50001,60000
62,37,6,50054,60000
61,38,4,50002,60000
60,39,5,50005,60000
59,40,4,50011,60000
58,41,5,50011,60000
57,42,6,49994,60000
56,43,4,50029,60000
55,44,4,50004,60000
54,45,6,49983,60000
53,46,4,49942,60000
52,47,8,50002,60000
51,48,6,50002,60000
50,49,6,50003,60000
49,50,4,49997,60000
48,51,8,50001,60000
47,52,6,49998,60000
46,53,5,50007,60000
45,54,4,49956,60000
44,55,8,50518,60000
43,56,6,50025,60000
42,57,4,50003,60000
41,58,4,50007,60000
40,59,2,51030,60000
39,60,2,50418,60000
38,61,2,50020,60000
37,62,2,50680,60000
36,63,4,50008,60000
35,64,2,50693,60000
34,65,2,50001,60000
33,66,2,50519,60000
32,67,4,50008,60000
31,68,4,50009,60000
30,69,2,50001,60000
29,70,2,50008,60000
28,71,4,50007,60000
27,72,2,50524,60000
26,73,4,50010,60000
25,74,2,51038,60000
24,75,2,50005,60000
23,76,2,50009,60000
22,77,4,50002,60000
21,78,4,49814,60000
20,79,2,50008,60000
19,80,2,49997,60000
18,81,2,50002,60000
17,82,2,50479,60000
16,83,4,50004,60000
15,84,2,49838,60000
14,85,2,50005,60000
13,86,2,50007,60000
12,87,4,51050,60000
11,88,4,50012,60000
10,89,2,50518,60000
9,90,2,51010,60000
8,91,4,49882,60000
7,92,2,50004,60000
6,93,4,50523,60000
5,94,2,50418,60000
4,95,2,49966,60000
3,96,2,50513,60000
2,97,2,50007,60000
1,98,2,49905,60000
0,99,4,50008,60000
